SerialNumber,Day,ID,Sex,SVL
20,2,U21,M,40.44
4,23,U21,M,45.35
212,55,U212,M,52.82
213,60,U213,M,51.66
124,82,U213,M,54.69
215,61,U215,M,56.57
216,61,U216,M,50.22
218,61,U218,M,40.94
219,62,U219,M,39.95
22,2,U22,M,51.26
17,35,U22,M,57.89
55,66,U22,M,60.19
130,82,U22,M,60.77
220,62,U220,M,54.7
132,83,U220,M,57.94
222,64,U222,M,47.52
225,66,U225,M,58.25
226,66,U226,M,56.95
227,67,U227,M,56.42
229,68,U229,M,51.52
23,2,U23,M,57.88
231,69,U231,M,47.66
127,82,U231,M,50.44
235,71,U235,M,53.37
236,71,U236,M,44.13
239,73,U239,M,43.08
240,73,U240,M,58.17
243,74,U243,M,56.23
244,75,U244,M,56.1
245,75,U245,M,59.36
247,76,U247,M,62.51
249,78,U249,M,54.5
25,5,U25,M,37.27
250,78,U250,M,45.81
251,79,U251,M,46.09
252,81,U252,M,58.85
253,81,U253,M,56.88
27,5,U27,M,49.78
28,5,U28,M,55.57
18,35,U28,M,57.55
52,65,U28,M,58.95
3,1,U3,M,53.83
25,37,U3,M,57.4
31,5,U31,M,37.61
32,5,U32,M,37.45
19,36,U32,M,43.98
59,66,U32,M,51.07
33,5,U33,M,46.12
34,5,U34,M,40.47
12,35,U34,M,50.22
36,5,U36,M,49.62
37,5,U37,M,50.22
38,5,U38,M,37.93
80,72,U38,M,43.48
39,5,U39,M,36.73
4,1,U4,M,52.19
10,35,U4,M,56.83
40,5,U40,M,53.82
16,35,U40,M,57.38
41,5,U41,M,44.7
33,43,U41,M,53.57
42,6,U42,M,42.61
5,27,U42,M,48.91
43,6,U43,M,40.25
46,6,U46,M,49.46
47,6,U47,M,48.33
48,6,U48,M,49.17
49,6,U49,M,42.36
78,72,U49,M,57.21
5,1,U5,M,50.31
35,43,U5,M,58.15
50,6,U50,M,39.6
15,35,U50,M,47.61
51,7,U51,M,52.27
70,69,U51,M,59.77
53,7,U53,M,44.38
23,37,U53,M,53.61
32,43,U53,M,54.32
54,7,U54,M,42.32
57,7,U57,M,42.33
58,7,U58,M,60.12
60,7,U60,M,50.67
36,44,U60,M,55.4
63,67,U60,M,57.72
125,82,U60,M,59.31
61,7,U61,M,39.87
62,8,U62,M,56.27
73,70,U62,M,62.44
133,83,U62,M,63.38
63,8,U63,M,47.12
37,46,U63,M,54.98
66,8,U66,M,51.48
3,20,U66,M,53.06
74,70,U66,M,57.1
67,8,U67,M,53.46
62,67,U67,M,56.35
7,1,U7,M,53.97
2,19,U7,M,55.6
30,41,U7,M,56.51
70,8,U70,M,47.83
71,8,U71,M,56.92
75,8,U75,M,40.71
1,15,U75,M,41.98
31,42,U75,M,47.53
115,81,U75,M,55.96
76,9,U76,M,42.07
41,53,U76,M,53.32
77,9,U77,M,51.95
39,49,U77,M,56.84
78,9,U78,M,62.11
24,37,U78,M,64.09
44,61,U78,M,63.43
8,1,U8,M,50.92
21,36,U8,M,55.72
56,66,U8,M,59.05
134,83,U8,M,59.57
81,9,U81,M,39.24
7,31,U81,M,43.21
83,10,U83,M,53.56
85,10,U85,M,37.4
87,10,U87,M,35.43
88,10,U88,M,33.54
9,1,U9,M,49.72
77,71,U9,M,58.46
92,11,U92,M,46.64
34,43,U92,M,54.63
95,11,U95,M,42.54
72,69,U95,M,50.16
99,11,U99,M,39.24
